MQ_rankings:
       gene  traj       <Q>  MisfoldingProp  num_frames  num_misfolded_frames  Folded
493  Q46856    38  0.951451        1.000000        2667                  2667    True
495  Q46856    47  0.948976        1.000000        2667                  2667    True
252  Q46856     6  0.948731        0.988751        2667                  2637    True
254  Q46856    23  0.947308        0.992126        2667                  2646    True
496  Q46856    36  0.944875        1.000000        2667                  2667    True
423  P37747    18  0.941680        1.000000        2667                  2667    True
444  Q46856     8  0.941353        1.000000        2667                  2667    True
428  P37747    34  0.940543        1.000000        2667                  2667    True
412  P37747    10  0.939034        1.000000        2667                  2667    True
434  P37747    37  0.935567        1.000000        2667                  2667    True
259  Q46856    39  0.931674        0.996250        2667                  2657    True
417  P37747     4  0.926093        1.000000        2667                  2667    True
420  P37747    26  0.925748        1.000000        2667                  2667    True
448  P37747    48  0.924796        1.000000        2667                  2667    True
416  P37747     0  0.924670        1.000000        2667                  2667    True
424  P37747    19  0.924556        1.000000        2667                  2667    True
421  P37747    13  0.923854        1.000000        2667                  2667    True
455  P37747    47  0.923095        1.000000        2667                  2667    True
454  P37747    46  0.921450        1.000000        2667                  2667    True
269  P37747    32  0.915765        0.998500        2667                  2663    True
270  P37747    39  0.915340        0.998875        2667                  2664    True
268  P37747    28  0.914985        0.998125        2667                  2662    True
272  P37747     1  0.914233        0.999250        2667                  2665    True
419  P37747    25  0.914003        1.000000        2667                  2667    True
275  P37747    33  0.913704        0.999625        2667                  2666    True
363  P37747     8  0.912768        1.000000        2667                  2667    True
273  P37747    38  0.912443        0.999625        2667                  2666    True
435  P37747    40  0.911768        1.000000        2667                  2667    True
413  P37747    12  0.911326        1.000000        2667                  2667    True
451  Q46856     5  0.911019        1.000000        2667                  2667    True
276  P37747    29  0.910959        0.999625        2667                  2666    True
425  P37747    41  0.910648        1.000000        2667                  2667    True
274  P37747    27  0.909872        0.999625        2667                  2666    True
362  P37747     7  0.909855        1.000000        2667                  2667    True
426  P37747    43  0.909500        1.000000        2667                  2667    True
498  Q46856    35  0.909008        1.000000        2667                  2667    True
494  Q46856    37  0.908519        1.000000        2667                  2667    True
325  Q46856    16  0.908268        1.000000        2667                  2667    True
324  Q46856    13  0.905268        1.000000        2667                  2667    True
331  P0ACP7     6  0.904034        1.000000        2667                  2667    True
319  P0A6B4    13  0.903522        1.000000        2667                  2667    True
483  P0ACP7    35  0.903503        1.000000        2667                  2667    True
330  P0ACP7     5  0.903467        1.000000        2667                  2667    True
310  P0ACP7    42  0.903354        1.000000        2667                  2667    True
427  P37747    31  0.902565        1.000000        2667                  2667    True
285  P0A6B4    44  0.902405        1.000000        2667                  2667    True
490  Q46856    32  0.901953        1.000000        2667                  2667    True
383  P0A8I5    45  0.901901        1.000000        2667                  2667    True
332  P0ACP7    11  0.899870        1.000000        2667                  2667    True
491  Q46856    43  0.897852        1.000000        2667                  2667    True
318  P0A6B4    32  0.894399        1.000000        2667                  2667    True
422  P37747    15  0.890002        1.000000        2667                  2667    True
264  P0A6B4    39  0.888877        0.997000        2667                  2659    True
250  P0A6B4     7  0.888691        0.829021        2667                  2211    True
260  P0A6B4    12  0.887858        0.996625        2667                  2658    True
381  P0ACP7     1  0.887361        1.000000        2667                  2667    True
265  P0A6B4     6  0.887186        0.997750        2667                  2661    True
411  P31142    34  0.886250        1.000000        2667                  2667    True
384  P0A8I5    10  0.885736        1.000000        2667                  2667    True
312  P0AES0    19  0.885613        1.000000        2667                  2667    True
267  P0A6B4    14  0.885341        0.998125        2667                  2662    True
359  P31142     4  0.884137        1.000000        2667                  2667    True
387  P31142    27  0.883737        1.000000        2667                  2667    True
266  P0AES0    22  0.883573        0.997750        2667                  2661    True
407  P31142    44  0.882493        1.000000        2667                  2667    True
406  P31142    43  0.879486        1.000000        2667                  2667    True
307  P0AES0     9  0.879192        1.000000        2667                  2667    True
311  P0AES0    34  0.878552        1.000000        2667                  2667    True
492  Q46856    27  0.878474        1.000000        2667                  2667    True
472  P0AES0    45  0.878107        1.000000        2667                  2667    True
309  P0AES0     2  0.878029        1.000000        2667                  2667    True
369  P31142    13  0.877251        1.000000        2667                  2667    True
323  P0A6B4    47  0.875902        1.000000        2667                  2667    True
429  P37747    24  0.875510        1.000000        2667                  2667    True
315  P0AES0    14  0.875455        1.000000        2667                  2667    True
321  P0AES0    30  0.873241        1.000000        2667                  2667    True
317  P0AES0    18  0.873134        1.000000        2667                  2667    True
372  P31142    29  0.871999        1.000000        2667                  2667    True
313  P0AES0    20  0.871869        1.000000        2667                  2667    True
277  P31142     1  0.871804        0.999625        2667                  2666    True
456  P60546    20  0.869589        1.000000        2667                  2667    True
461  P0AES0    39  0.869059        1.000000        2667                  2667    True
458  P60546    26  0.867963        1.000000        2667                  2667    True
305  P0AES0     5  0.867843        1.000000        2667                  2667    True
462  P0AES0    42  0.867730        1.000000        2667                  2667    True
314  P0AES0    11  0.867301        1.000000        2667                  2667    True
308  P0AES0     1  0.866669        1.000000        2667                  2667    True
322  P0AES0    32  0.864175        1.000000        2667                  2667    True
371  P31142     0  0.863775        1.000000        2667                  2667    True
306  P0AES0     6  0.863003        1.000000        2667                  2667    True
316  P0AES0    17  0.862670        1.000000        2667                  2667    True
409  P31142    46  0.861840        1.000000        2667                  2667    True
358  P31142     3  0.860680        1.000000        2667                  2667    True
368  P31142    11  0.860517        1.000000        2667                  2667    True
301  P60546    38  0.860407        1.000000        2667                  2667    True
382  P0A8I5    41  0.860239        1.000000        2667                  2667    True
377  P31142    20  0.859608        1.000000        2667                  2667    True
378  P31142    21  0.859507        1.000000        2667                  2667    True
396  P31142    35  0.859299        1.000000        2667                  2667    True
374  P31142    16  0.858949        1.000000        2667                  2667    True
473  P0AES0    47  0.858563        1.000000        2667                  2667    True
415  P31142    48  0.858546        1.000000        2667                  2667    True
408  P31142    45  0.858052        1.000000        2667                  2667    True
397  P31142    36  0.857373        1.000000        2667                  2667    True
418  P31142    39  0.857320        1.000000        2667                  2667    True
404  P31142    40  0.856900        1.000000        2667                  2667    True
386  P31142    25  0.856758        1.000000        2667                  2667    True
366  P31142     9  0.855945        1.000000        2667                  2667    True
365  P31142     8  0.855853        1.000000        2667                  2667    True
376  P31142    18  0.855311        1.000000        2667                  2667    True
364  P31142     7  0.853834        1.000000        2667                  2667    True
361  P31142     6  0.853558        1.000000        2667                  2667    True
414  P31142    47  0.851871        1.000000        2667                  2667    True
375  P31142    17  0.851047        1.000000        2667                  2667    True
385  P31142    24  0.850011        1.000000        2667                  2667    True
471  P0AES0    44  0.848572        1.000000        2667                  2667    True
253  P0A6B4    35  0.843642        0.989501        2667                  2639    True
380  P0ACP7     0  0.842359        1.000000        2667                  2667    True
398  P31142    38  0.841686        1.000000        2667                  2667    True
367  P31142    10  0.840962        1.000000        2667                  2667    True
447  Q46856     0  0.831318        1.000000        2667                  2667    True
452  Q46856     7  0.830592        1.000000        2667                  2667    True
445  P60546    44  0.821693        1.000000        2667                  2667    True
302  P60546    41  0.821495        1.000000        2667                  2667    True
457  P60546    23  0.819494        1.000000        2667                  2667    True
449  Q46856     1  0.815652        1.000000        2667                  2667    True
446  P60546    45  0.815344        1.000000        2667                  2667    True
