traj,ranked_stateID,old_stateID,OR,noReg_noCut,yesReg_noCut,noReg_yesCut,yesReg_yesCut,total,lastOR,lastPvalue
0,0,0,1.456705102117718,12504,8411,197,212,21324,1.599819429113555,2.674665147503064e-06
0,1,2,1.3558271018363772,11046,8809,189,253,20297,1.6785610675950102,9.002890515465929e-08
0,2,3,1.0622959203745233,11786,8094,183,191,20254,1.5197967596587096,6.57505744903122e-05
0,3,1,0.6386172633833613,11116,9698,192,246,21252,1.4685888843060424,8.520487831198759e-05
1,0,1,1.629945422888904,11428,8218,168,180,19994,1.4899349859194104,0.00023581083768346663
1,1,3,1.0854101185687122,11316,9418,189,245,21168,1.5575375758004766,5.5836766148698364e-06
1,2,0,0.8201301229401539,12291,8793,206,246,21536,1.6692371138118471,7.887334477516069e-08
1,3,2,0.7154310956538472,11417,8583,198,231,20429,1.5518855101168978,6.9774595473448945e-06
2,0,2,1.475010637459617,11443,7957,213,208,19821,1.4043464844194824,0.0006502268596271124
2,1,0,0.9223286257716946,12577,8475,149,183,21384,1.8226453643760765,7.08127601302407e-08
2,2,3,0.8623985246212447,12038,9445,200,236,21919,1.503953414505029,2.674505696969297e-05
2,3,1,0.8296337909804243,10394,9135,199,275,20003,1.5723664848599868,1.4806747679640498e-06
3,0,2,1.7556030952964439,11057,8375,173,210,19815,1.6026020188076957,5.460243377551913e-06
3,1,1,1.0317441105091558,11240,8857,162,187,20446,1.4648941968199807,0.00048703362953072084
3,2,0,0.9194989840696476,11519,9211,189,235,21154,1.5549414979444292,8.329393127891864e-06
3,3,3,0.8079575463296393,12636,8569,237,270,21712,1.6799443386596666,9.19939285535416e-09
4,0,1,1.2294352844879783,11216,8273,184,207,19880,1.525202465852774,4.2649827094550785e-05
4,1,3,1.0216351258317098,11667,8674,196,220,20757,1.509754697359691,3.84932705914079e-05
4,2,0,0.9951747257212518,13066,9073,225,258,22622,1.6513112164297,5.3157093310895434e-08
4,3,2,0.7517935475961519,10503,8992,156,217,19868,1.624771164111689,4.663332853716287e-06
5,0,2,1.6838089083316763,11142,7829,237,234,19442,1.405155450928146,0.0003119124931993364
5,1,0,0.8748940479282087,11241,9332,192,244,21009,1.530801275182169,1.1696109806303503e-05
5,2,1,0.7911447994800358,12018,9060,164,235,21477,1.900763204651914,2.69197739369878e-10
5,3,3,0.7743872281386894,12051,8791,168,189,21199,1.542188033215789,6.050456013370991e-05
6,0,2,2.099659729801616,12131,8422,174,183,20910,1.514897354220064,0.00011242188200100427
6,1,0,1.118743717839919,9983,9392,201,271,19847,1.4330990914253265,0.00012912674114268962
6,2,3,0.8766033043968637,11417,9458,170,233,21278,1.654473026258505,6.736080717140983e-07
6,3,1,0.7845167592847273,12921,7740,216,215,21092,1.6616512345679013,2.645242029154718e-07
7,0,0,1.728173199377388,10470,8760,166,184,19580,1.3248060736095064,0.00934037018262962
7,1,3,1.2016325004673187,11738,9482,210,286,21716,1.6859352557728429,1.270030544168879e-08
7,2,2,0.9407880610568841,12983,8392,216,188,21779,1.346522702397345,0.0033680625885103036
7,3,1,0.712473784080695,11261,8378,169,244,20052,1.9406165203032457,4.588142462477994e-11
8,0,2,1.42724584340438,11969,8558,168,185,20880,1.540096846170111,6.749634620311013e-05
8,1,0,1.2674259347420076,11220,8478,185,227,20110,1.6238786557257894,1.2849273369450489e-06
8,2,3,0.8935913788255945,12049,9463,200,264,21976,1.6807228151748916,3.7153658088528806e-08
8,3,1,0.8281012550933298,11214,8513,208,226,20161,1.4312747923989555,0.0002344091488025633
9,0,2,1.40110400734512,10961,8383,156,197,19697,1.6511720912591723,3.747818286303305e-06
9,1,0,1.1468033790036116,11340,8736,221,224,20521,1.3156978767838496,0.00434091168228142
9,2,3,0.8346979792463134,11614,9225,190,260,21289,1.7228013122236485,1.7058298562066204e-08
9,3,1,0.7797143894859367,12537,8668,194,221,21620,1.6476511543822758,5.474899137190091e-07
